MatchId;HomeTeam;HomeTeamId;VisitTeam;VisitTeamId;MapName;ScheduleDate;StatsId;Map;Rounds;Duration;DamageRED;FragsRED;DamageBLU;FragsBLU;ScoreRED;ScoreBLU;ScoresBLU;RoundTimes
39872;The Nebular;9187;Vault Force 4;6176;koth_coalplant_b7;2014-02-17 00:00:00;157055;koth_coalplant_b7;4;1419;40310;136;39991;143;0;4;1|1|1|1;403|396|271|349
39874;[SS];9733;Mouse's House;6538;koth_coalplant_b7;2014-02-17 00:00:00;157116;koth_coalplant_b7;1;481;11586;43;11837;51;0;1;1;481
39874;[SS];9733;Mouse's House;6538;koth_coalplant_b7;2014-02-17 00:00:00;157031;koth_coalplant_b7;4;1489;44018;149;51501;201;1;3;0|1|1|1;404|400|419|266
39876;Birds of War;9576;Aacuna Tuna;9427;koth_coalplant_b7;2014-02-17 00:00:00;157216;koth_coalplant_b7;1;290;10332;38;8309;18;1;0;0;290
39876;Birds of War;9576;Aacuna Tuna;9427;koth_coalplant_b7;2014-02-17 00:00:00;157101;koth_coalplant_b7;5;2074;51427;167;53033;153;3;2;0|1|0|1|0;767|401|409|221|276
39877;Medium Rollers Gaming;9492;The Pro-Procrastinators;10149;koth_coalplant_b7;2014-02-17 00:00:00;157158;koth_coalplant_b7;1;294;8299;25;11001;40;0;1;1;294
39880;Fedora Force;9286;BEATDOWN Brotherhood;8838;koth_coalplant_b7;2014-02-17 00:00:00;157120;koth_coalplant_b7;1;418;13724;51;15128;58;0;1;1;418
39880;Fedora Force;9286;BEATDOWN Brotherhood;8838;koth_coalplant_b7;2014-02-17 00:00:00;157042;koth_coalplant_b7;4;1384;45396;156;44604;169;3;1;0|1|0|0;372|347|301|364
39881;TeSPA Transformed;9544;The Blair TF2 Project;8494;koth_coalplant_b7;2014-02-17 00:00:00;157079;koth_coalplant_b7;3;2026;17320;66;16203;64;0;3;1|1|1;415|380|1231
39881;TeSPA Transformed;9544;The Blair TF2 Project;8494;koth_coalplant_b7;2014-02-17 00:00:00;157023;koth_coalplant_b7;3;882;35249;124;23495;78;3;0;0|0|0;240|300|342
39883;Prophunters;10045;The Swaggin Sailors;9946;koth_coalplant_b7;2014-02-17 00:00:00;157139;koth_coalplant_b7;2;664;21361;73;20066;67;1;1;1|0;373|291
39883;Prophunters;10045;The Swaggin Sailors;9946;koth_coalplant_b7;2014-02-17 00:00:00;157075;koth_coalplant_b7;3;910;31065;105;26158;74;3;0;0|0|0;229|313|368
39886;The Corked Bunch;9461;Money For Bacon;8836;koth_coalplant_b7;2014-02-17 00:00:00;157083;koth_coalplant_b7;3;832;23513;61;29616;115;0;3;1|1|1;230|380|222
39887;Spinal Tap;9919;BC.GAMING.AD;9915;koth_coalplant_b7;2014-02-17 00:00:00;156941;koth_coalplant_b7;3;808;31745;147;21970;70;3;0;0|0|0;371|218|219
39887;Spinal Tap;9919;BC.GAMING.AD;9915;koth_coalplant_b7;2014-02-17 00:00:00;156919;koth_coalplant_b7;3;855;21042;65;31635;128;0;3;1|1|1;356|278|221
